Fav,Pos,Bib No,Name,Time,Country,Swim,T1,Run,Category,Time_seconds,Swim_seconds,T1_seconds,Run_seconds
,1,454,ARIF NAZERI ,01:31:30,MAS,00:34:45,00:03:47,00:52:57,StandardAquathlon1629M,5490,2085,227,3177
,2,450,MUHAMMAD ALIF AIMAN BIN  MOHD DZAHIR ,01:33:42,MAS,00:36:16,00:02:46,00:54:39,StandardAquathlon1629M,5622,2176,166,3279
,3,452,SAMUEL  THOMPSON  ,01:35:45,MAS,00:33:28,00:03:45,00:58:31,StandardAquathlon1629M,5745,2008,225,3511
,4,442,WONG HWAI KIN ,01:40:20,MAS,00:34:33,00:04:45,01:01:01,StandardAquathlon1629M,6020,2073,285,3661
,5,447,MUHAMMAD HAZIQ FITRIE  AINUDDIN NAZLEE ,01:40:41,MAS,00:41:11,00:04:31,00:54:58,StandardAquathlon1629M,6041,2471,271,3298
,6,458,ARIF  ZULKIFLI ,01:45:02,MAS,00:42:52,00:04:41,00:57:28,StandardAquathlon1629M,6302,2572,281,3448
,7,456,MUHAMMAD NAFISS RADZUAN ,01:46:39,MAS,00:40:28,00:05:07,01:01:03,StandardAquathlon1629M,6399,2428,307,3663
,8,443,LIM YONG LE ,01:46:46,MAS,00:33:26,00:04:51,01:08:28,StandardAquathlon1629M,6406,2006,291,4108
,9,451,CHIN  ZHEN KEI ,01:51:21,MAS,00:41:29,00:02:26,01:07:25,StandardAquathlon1629M,6681,2489,146,4045
,10,453,MUHAMMAD IZWAN  BIN MUHAMMAD ISHAM  ,01:54:12,MAS,00:51:00,00:04:49,00:58:22,StandardAquathlon1629M,6852,3060,289,3502
,11,459,MUHAMMAD FAIZ  AMRAN WAHIDI ,01:56:16,MAS,00:53:24,00:04:37,00:58:14,StandardAquathlon1629M,6976,3204,277,3494
,12,455,MUHAMMAD NAQQIB RADZUAN ,02:00:23,MAS,00:54:49,00:04:51,01:00:42,StandardAquathlon1629M,7223,3289,291,3642
,13,448,ZHU QING TEW ,02:01:59,MAS,00:43:45,00:07:03,01:11:10,StandardAquathlon1629M,7319,2625,423,4270
,14,449,TEE  HONG LI ,02:03:42,MAS,00:32:56,00:04:16,01:26:30,StandardAquathlon1629M,7422,1976,256,5190
,15,446,MING HIN CHAN ,02:11:54,MAS,00:50:26,00:06:31,01:14:56,StandardAquathlon1629M,7914,3026,391,4496
,16,457,MUHAMMAD ALIMSYAH DANIAL ABDUL KARIM ,02:21:41,MAS,00:52:50,00:05:30,01:23:20,StandardAquathlon1629M,8501,3170,330,5000
